id,name,latitude,longitude,elevation
01025,TROMSOE,69.68,18.92,10.0
01089,KIRKENES,69.73,29.9,91.0
01210,ALESUND AIRP,62.57,6.12,22.0
02226,FROSON,63.2,14.5,376.0
02355,KUGGOEREN AMOS,61.7,17.52,9.0
02807,IVALO,68.62,27.42,147.0
02869,KUUSAMO,65.97,29.18,262.0
02917,KUOPIO,63.02,27.8,98.0
02947,MIKKELI,61.73,27.3,138.0
04063,AKUREYRI,65.68,-18.08,23.0
04270,NARSARSUAQ,61.15,-45.43,4.0
04361,KULUSUK,65.57,-37.13,35.0
08515,SANTA MARIA,36.97,-25.17,100.0
17096,ERZURUM,39.92,41.27,1756.0
22113,MURMANSK,68.97,33.05,51.0
22820,PETROSK,61.82,34.27,110.0
23631,BEREZOVO,63.93,65.05,32.0
24125,OLENEK,68.5,112.43,220.0
27051,TOTMA,59.88,42.75,134.0
27612,MOSKAU,55.75,37.57,156.0
28076,DEMJANSKOE,59.6,69.28,57.0
28722,UFA,54.72,55.83,104.0
29838,BARNAUL,53.43,83.52,184.0
30521,ZHIGALOVO,54.8,105.22,426.0
31088,OKHOTSK,59.37,143.2,6.0
31960,VLADIVOSTOK,43.12,131.9,138.0
32389,KLJUCHI,56.32,160.83,29.0
34152,BALASHOV,51.55,43.15,154.0
34880,ASTRAHAN,46.28,48.05,-23.0
35229,AKTJUBINSK,50.28,57.15,219.0
36870,ALMA-ATA,43.23,76.93,847.0
37864,BAKU/BINA,40.45,50.07,-6.0
38545,DARGANATA,40.47,62.28,143.0
38927,TERMEZ,37.23,67.27,310.0
40362,RAFHA,29.62,43.48,449.0
40437,RIAD INT.AIRPORT,24.93,46.72,614.0
40745,MASHHAD,36.27,59.63,989.0
40766,KERMANSHAH,34.27,47.12,1320.0
40835,GACH SARAN DU GUNBA.,30.43,50.77,699.0
41024,JEDDAH/KING ABDUL,21.7,39.18,15.0
41194,DUBAI,25.25,55.33,8.0
41242,DIBBA,25.62,56.25,20.0
41254,SAIQ,23.07,57.65,1755.0
41258,QABOOS PORT,23.63,58.57,4.0
41265,IBRA,22.73,58.52,469.0
41304,MARMUL,18.13,55.18,273.0
41316,SALALAH,17.03,54.08,20.0
41696,KALAT,29.03,66.58,2015.0
41950,BARISAL,22.75,90.37,4.0
42348,JAIPUR/SANGANER,26.82,75.8,385.0
43003,BOMBAY AIRPORT,19.12,72.85,8.0
43450,KATUNAYAKE,7.17,79.88,8.0
43599,GAN,-0.68,73.15,2.0
44438,BHAIRAWA AIRPORT,27.52,83.45,109.0
47008,CHONGJIN,41.78,129.82,42.0
47055,WONSAN,39.18,127.43,35.0
47106,TONGHAE/RADAR,37.5,129.13,40.0
47133,TAEJON,36.3,127.4,77.0
47146,CHONJU,35.82,127.15,54.0
47407,ASAHIKAWA,43.77,142.37,116.0
47584,MORIOKA,39.7,141.17,155.0
47662,TOKYO NARITA,35.68,139.77,5.0
47807,FUKUOKA,33.58,130.38,3.0
47893,KOCHI,33.57,133.55,1.0
48097,YANGON,16.77,96.17,14.0
48456,BANGKOK/DON MUANG,13.92,100.6,4.0
48564,PHUKET,7.88,98.4,2.0
48647,KUALA LUMPUR,3.12,101.55,27.0
48930,LUANG-PRABANG,19.88,102.13,305.0
50854,ANDA,46.38,125.32,150.0
51730,ALAR,40.5,81.05,1013.0
52495,BAYAN MOD,40.75,104.5,1329.0
